 ,,,,,,,
      (shillings million),,,,,,,
FISCAL YEAR,Treasury Bills*,Treasury Bonds,Government Stocks,Overdraft at Central Bank,Advances from Commercial Banks,Other Domestic Debt**,Total Domestic Debt***
18-Mar,"795,984.90","1,528,194.42",0,"39,654.62","7,476.00",698.3917314,"2,372,008.34"
18-Apr,"812,968.10","1,550,412.42",0,"44,025.33","7,494.16",710.6014144,"2,415,610.61"
18-May,"862,010.20","1,533,417.92",0,"44,353.23","7,450.49",701.1784039,"2,447,933.02"
18-Jun,"901,906.65","1,512,230.47",0,"56,849.24","7,503.83",702.7110067,"2,479,192.90"
18-Jul,"968,948.90","1,509,361.32",0,"26,340.05","8,089.27",695.2028001,"2,513,434.75"
18-Aug,"945,208.05","1,524,823.47",0,"15,055.18","7,717.87",705.016709,"2,493,509.59"
18-Sep,"966,810.65","1,529,128.67",0,"36,290.51","7,587.72",688.8420584,"2,540,506.40"
18-Oct,"974,725.55","1,528,542.02",0,"25,174.32","7,550.44",680.7221972,"2,536,673.05"
18-Nov,"972,855.70","1,547,185.80",0,"44,892.06","8,188.96",694.8994403,"2,573,817.42"
18-Dec,"922,150.30","1,554,475.40",0,"64,824.21","8,182.54",696.6579317,"2,550,329.11"
19-Jan,"967,274.65","1,592,900.75",0,"36,890.44","7,987.80",696.0848573,"2,605,749.73"
19-Feb,"994,273.70","1,669,550.55",0,"19,665.99","8,354.81",687.3150194,"2,692,532.37"
19-Mar,"971,275.30","1,686,576.20",0,"36,895.82","8,497.81",1248.475666,"2,704,493.61"
19-Apr,"1,025,174.05","1,693,671.60",0,"13,784.09","8,581.52","1,254.72","2,742,465.98"
19-May,"987,246.90","1,747,322.85",0,"35,969.10","2,386.63","1,248.56","2,774,174.04"
19-Jun,"975,315.00","1,749,709.95",0,"57,327.70","3,421.67","1,269.15","2,787,043.48"
19-Jul,"974,613.60","1,800,262.90",0,"65,974.38","3,134.32","1,242.03","2,845,227.24"
19-Aug,"968,954.40","1,843,909.59",0,"59,552.50","3,368.22","1,252.52","2,877,037.23"
19-Sep,"949,974.30","1,831,764.14",0,"68,231.52","3,403.54","1,252.69","2,854,626.19"
19-Oct,"917,880.10","1,912,129.74",0,"65,503.90","2,726.83","1,248.60","2,899,489.18"
19-Nov,"917,192.00","1,940,474.19",0,"57,230.74","3,560.20","1,252.97","2,919,710.10"
19-Dec,"900,000.60","1,977,041.54",0,"63,724.46","2,446.92","1,237.83","2,944,451.36"
20-Jan,"900,519.40","2,041,057.39",0,"59,193.96","3,480.11","1,242.26","3,005,493.11"
20-Feb,"938,379.00","2,069,240.49",0,"30,465.84","3,421.27","1,250.76","3,042,757.36"
20-Mar,"921,687.70","2,092,635.74",0,"54,181.61","2,790.50","1,241.64","3,072,537.19"
20-Apr,"909,825.35","2,152,065.14",0,"54,592.58","4,043.07","1,237.48","3,121,763.61"
20-May,"918,787.10","2,181,800.09",0,"50,147.52","3,511.06","1,245.98","3,155,491.75"
20-Jun,"907,651.50","2,220,339.49",0,"47,149.78","2,007.33","1,273.18","3,178,421.28"
20-Jul,"970,609.95","2,297,846.54",0,0,"3,841.86","1,253.09","3,273,551.44"
20-Aug,"936,232.70","2,418,317.99",0,"43,400.39","3,305.26","1,244.39","3,402,500.73"
20-Sep,"914,688.60","2,482,244.14",0,"56,206.33","2,717.31","1,250.12","3,457,106.50"
