 ,,,,,,,
      (shillings million),,,,,,,
FISCAL YEAR,Treasury Bills*,Treasury Bonds,Government Stocks,Overdraft at Central Bank,Advances from Commercial Banks,Other Domestic Debt**,Total Domestic Debt***
,,,,,,,
Sep-99,"115,068.55","27,886.19","3,430.28","6,787.60","2,885.37","27,359.01","183,417.00"
Dec-99,"121,658.53","28,427.98","3,005.92","6,664.38","2,899.89","27,643.30","190,300.00"
Mar-00,"131,224.49","33,477.49","3,005.92","6,662.98","2,654.36","24,437.99","201,463.22"
Jun-00,"131,029.45","36,851.07","3,005.92","6,528.95","2,608.57","26,103.04","206,127.00"
Jul-00,"132,167.45","39,650.79","3,005.92","5,802.95","2,458.81","19,276.08","202,362.00"
Aug-00,"129,982.70","39,292.68","3,005.92","6,281.82","2,511.76","15,509.12","196,584.00"
Sep-00,"131,672.70","37,187.28","3,005.92","5,839.36","2,566.12","15,248.61","195,520.00"
Oct-00,"132,503.45","36,881.13","1,905.92","5,875.78","2,618.20","15,779.52","195,564.00"
Nov-00,"133,260.45","36,877.03","1,905.92","5,838.47","2,665.54","15,358.59","195,906.00"
Dec-00,"132,660.35","34,114.71","1,905.92","5,838.47","2,432.31","15,713.54","192,665.30"
1-Jan,"134,273.85","32,375.96","1,468.22","7,397.47","2,253.95","15,563.50","193,332.95"
1-Feb,"139,593.30","33,144.26","1,468.22","7,324.64","2,286.02","15,720.82","199,537.27"
1-Mar,"139,008.45","34,560.28","1,468.22","7,324.64","2,320.63","15,940.35","200,622.58"
1-Apr,"137,502.95","36,374.69","1,468.22","5,775.64","2,289.28","27,170.67","210,581.44"
1-May,"134,767.60","40,786.60","1,468.22","2,156.64","2,179.56","21,522.26","202,880.88"
1-Jun,"137,540.05","44,499.24","1,468.22","2,861.85","2,207.72","23,235.52","211,812.60"
1-Jul,"140,249.65","49,108.67","1,468.22","1,514.60","2,034.37","10,636.49","205,012.00"
1-Aug,"144,458.60","55,940.93","1,468.22",500.85,"2,063.91","10,334.49","214,767.00"
1-Sep,"143,838.85","60,460.33","1,468.22",500.85,"2,092.29","10,804.45","219,165.00"
1-Oct,"137,764.75","71,056.86","1,468.22",0,"2,121.97","13,540.20","225,952.00"
1-Nov,"132,115.55","71,052.63","1,468.22",0,"2,151.13","10,736.48","217,524.00"
1-Dec,"123,802.55","80,327.61","1,468.22",0,"2,431.40","13,954.22","221,984.00"
